City_ID,City,Country,MaxTemp,Current Description,Lat,Lon,Hotel Name
1007,Klaksvík,FO,52.72,overcast clouds,62.2266,-6.589,Hotel Klaksvík
1009,Tynda,RU,54.45,light rain,55.1667,124.7167,Gostinitsa Safari
1010,Bambous Virieux,MU,69.22,light rain,-20.3428,57.7575,La Hacienda Hotel
1020,Goderich,CA,65.91,clear sky,43.7501,-81.7165,Bedford Hotel
1021,Saldanha,ZA,55.45,light rain,-33.0117,17.9442,Saldanha Bay Hotel
1025,Port Alfred,ZA,61.95,overcast clouds,-33.5906,26.891,Royal St Andrews Hotel
1033,Inta,RU,55.47,overcast clouds,66.0317,60.1659,Hotel Severyanka
1034,Quelimane,MZ,67.95,clear sky,-17.8786,36.8883,Kansa Hotel
1037,Vao,NC,68.45,clear sky,-22.6667,167.4833,OURE TERA beach resort
1038,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
1040,Tsiroanomandidy,MG,55.67,clear sky,-18.7667,46.0333,Horizon Hotel
1041,Kruisfontein,ZA,53.89,overcast clouds,-34.0033,24.7314,40b Overnight Accommodation
1042,Lata,PT,59.22,clear sky,40.1629,-8.3327,Arouce Hostel
1044,Mar del Plata,AR,52.88,clear sky,-38.0023,-57.5575,HOTEL TRONADOR
1045,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
1049,Saint Paul Harbor,US,58.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
1052,Port Macquarie,AU,56.89,overcast clouds,-31.4333,152.9167,Port Macquarie Hotel
1058,Ginda,IN,64.27,clear sky,30.6945,78.4932,Shivlinga Resort
1060,Carnarvon,AU,63.54,clear sky,-24.8667,113.6333,Good Paddock Restaurant By Gascoyne Hotel
1063,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
1070,Çay,TR,62.94,clear sky,38.5917,31.0286,Grand Bozkurt Butik Otel
1071,Alcains,PT,63.68,clear sky,39.9164,-7.4566,Arca dos Animais - Farming & Spa
1075,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
1091,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
1094,Saint-Philippe,RE,64.22,light rain,-21.3585,55.7679,Hôtel Les Embruns Du Baril
1097,Geraldton,AU,55.81,clear sky,-28.7667,114.6,Ocean Centre Hotel - Stay Beachside in Geraldton!
1099,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
1101,Vao,NC,68.45,clear sky,-22.6667,167.4833,OURE TERA beach resort
1106,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
1109,Copiapó,CL,51.49,overcast clouds,-27.3667,-70.3333,ibis Copiapo
1111,Chui,UY,51.3,few clouds,-33.6971,-53.4616,Hotel Internacional
